table,period,surface,surface_label,amazon_family,accounts,new_signup_accounts,reactivated_accounts,base_accounts,share_of_base_pct,share_of_cohort_pct,new_share_pct,reactivated_share_pct,pre_180d_accounts,pre_180d_share_of_cohort_pct,lift_pp,additivity,note,window,unit,cohort_accounts,panel
cohort,event,acquired_or_reactivated,Acquired or reactivated after first Gilmore Girls Prime Video play,video,22764,8878,13886,22764,100.0000,100.0000,100.0000,100.0000,,,,identity,Subscriber IQ lock. First Prime Video play after 180 days off was Gilmore Girls.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
cohort,event,new_signup,New Prime signup,account,8878,8878,0,22764,39.0002,39.0002,100.0000,0.0000,,,,partitions cohort with reactivated,No live Prime membership in the year before the first Gilmore Girls play.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
cohort,event,reactivated_dormant,Reactivated dormant Prime,account,13886,0,13886,22764,60.9998,60.9998,0.0000,100.0000,,,,partitions cohort with new_signup,Prime membership had lapsed. Restored in the attribution window around the play.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
cohort,event,completed_qualifying_watch,Completed a qualifying Gilmore Girls watch,video,18643,6667,11976,22764,81.8969,81.8969,75.0957,86.2451,,,,overlap. do not add,Reads as the shipped 81.9 completion rate.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
cohort,event,second_screen,Second screen during Gilmore Girls,video,8267,3486,4781,22764,36.3161,36.3161,39.2656,34.4304,,,,overlap. do not add,Reads as the shipped 36.3 second-screen rate.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
nest,trailing_year,us_gen_pop,US gen pop,tam,329900000,0,0,329900000,100.0000,1449218.0636,0.0000,0.0000,,,,TAM,Fixed US gen pop.,2025-09-17 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
nest,trailing_year,prime_video_t12,Prime Video in the trailing year,video,191678498,0,0,329900000,58.1020,842024.6793,0.0000,0.0000,,,,entered,Matches the Gen Pop Amazon Prime Video row at 58.1020.,2025-09-17 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
nest,title_window,lapsed_or_new_gg_parent,Lapsed or new. First Prime Video play after the gap was Gilmore Girls,video,1418647,0,0,191678498,0.7401,6231.9759,0.0000,0.0000,,,,parent. do not add to this file,Parent from the lapsed-or-new flywheel. This file is the subscription-event cut.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
nest,title_window,acquired_or_reactivated,Acquired or reactivated,video,22764,8878,13886,1418647,1.6046,100.0000,100.0000,100.0000,,,,nested under parent,1.6046% of the lapsed-or-new parent. The rest already had a live Prime membership.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
nest,post_30d,second_amazon_owned,Second Amazon-owned surface inside 30 days,union,21661,8413,13248,22764,95.1546,95.1546,94.7623,95.4054,,,,nested,"Any Amazon-owned session after the first Gilmore Girls play, inside 30 days.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
nest,post_30d,amazon_owned_checkout,Amazon-owned checkout inside 30 days,union,10828,4641,6187,21661,49.9885,47.5663,52.2753,44.5557,,,,conversion,"Retail order, Kindle, Audible, Fresh or Whole Foods digital, or Pharmacy.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,amazon_retail_session,amazon.com or the Amazon app,retail,18827,6641,12186,22764,82.7051,82.7051,74.8029,87.7575,,,,overlap. do not add,They already lived in the store. New accounts were paying for shipping. Reactivated accounts kept shopping after the membership lapsed.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,amazon_retail_order,amazon.com completed retail order,retail,11054,3641,7413,22764,48.5591,48.5591,41.0115,53.3847,,,,overlap. do not add,A completed order in the 180 days before the first Gilmore Girls play. The shipping charge is the pain the membership later removes.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,amazon_music,Amazon Music,audio,3101,687,2414,22764,13.6224,13.6224,7.7382,17.3844,,,,overlap. do not add,Prime Music is locked without a live membership. Residual sessions sit on the reactivated side.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,audible,Audible,audio,1661,413,1248,22764,7.2966,7.2966,4.6519,8.9875,,,,overlap. do not add,Standalone Audible can outlive a lapsed Prime. New stays thin.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,kindle_or_books,Kindle or Amazon Books,reading,4427,1186,3241,22764,19.4474,19.4474,13.3589,23.3401,,,,overlap. do not add,Kindle libraries persist after a lapse. The title audience already reads.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,goodreads,Goodreads,reading,3599,1413,2186,22764,15.8101,15.8101,15.9157,15.7425,,,,overlap. do not add,Bookish on both sides. Not a Prime perk.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,imdb,IMDb,video,7615,3486,4129,22764,33.4519,33.4519,39.2656,29.7350,,,,overlap. do not add,Where-to-watch research after the June 30 Netflix exit. Higher on new.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
