Category,Value,Row_Count
GENDER,Female,17432918
GENDER,Male,15909819
GENDER,Prefer Not to Say,1422953
GENDER,Trans Male,772316
GENDER,Trans Female,589896
GENDER,Non-Binary,564814
GENDER,,1
ETHNICITY,White,23312115
ETHNICITY,Another Race/Ethnicity,4693579
ETHNICITY,Hispanic or Latino,3870910
ETHNICITY,Black or African American,2832091
ETHNICITY,Asian,1984019
ETHNICITY,,1
ETHNICITY,"White, Hispanic or Latino",1
ETHNICITY,"Black or African American, Hispanic or Latino",1
PRIMARY_LANGUAGE,Other,24127444
PRIMARY_LANGUAGE,English,9767686
PRIMARY_LANGUAGE,Spanish,2678225
PRIMARY_LANGUAGE,Chinese,73595
PRIMARY_LANGUAGE,,45767
INCOME,"$50,000 - $74,999",9912828
INCOME,"$75,000 - $99,999",8507032
INCOME,"$100,000 - $149,999",8034824
INCOME,"$150,000 - $249,999",5688414
INCOME,"$250,000 or More",4342012
INCOME,"$25,000 - $49,999",167222
INCOME,,40375
INCOME,"$75,000 – $99,999",5
INCOME,"Less than $25,000",2
INCOME,"$100,000 – $149,999",1
INCOME,"$50,000 – $74,999",1
EDUCATION,Bachelor's Degree,23312757
EDUCATION,High School or Less,11132609
EDUCATION,Graduate or Professional Degree,1752991
EDUCATION,Prefer Not to Say,247794
EDUCATION,Some College / Associate Degree,199895
EDUCATION,,46666
EDUCATION,Some college / Associate degree,2
EDUCATION,Bachelor's degree,2
EDUCATION,Graduate or professional degree,1
AGE,25-34,10218061
AGE,18-24,6143136
AGE,35-44,6134853
AGE,45-54,3970234
AGE,Other,3362381
AGE,17 and Under,2992133
AGE,55-64,2464387
AGE,65 or Older,1370385
AGE,,37142
AGE,55–64,2
AGE,25–34,2
AGE,18–24,1
RELATIONSHIP,Single,11956911
RELATIONSHIP,In a Relationship,8693271
RELATIONSHIP,Married,7926112
RELATIONSHIP,Prefer Not to Say,4719671
RELATIONSHIP,Divorced or Separated,3359746
RELATIONSHIP,,37001
RELATIONSHIP,Single (not living with a partner),3
RELATIONSHIP,Widowed,2
PARENTAL_STATUS,No Children,20131785
PARENTAL_STATUS,Has Children,10952140
PARENTAL_STATUS,Prefer Not to Say,5608786
PARENTAL_STATUS,No,4
PARENTAL_STATUS,,1
PARENTAL_STATUS,Yes,1
OCCUPATION,Other,11839325
OCCUPATION,"Management, Business & Professional",8808127
OCCUPATION,Healthcare Practitioners or Support,4127698
OCCUPATION,Sales & Retail,3989011
OCCUPATION,Education or Library Services,2967265
OCCUPATION,Service & Hospitality,1059314
OCCUPATION,"Science, Technology & Technical Professions",731401
OCCUPATION,Skilled Trades/Construction or Maintenance,658208
OCCUPATION,Agriculture & Outdoor,615144
OCCUPATION,Transportation & Logistics,588197
OCCUPATION,Manufacturing & Production,556936
OCCUPATION,Public Safety & Protective Services,544080
OCCUPATION,Legal,207997
OCCUPATION,Self-Employed,9
OCCUPATION,,1
OCCUPATION,Retired,1
OCCUPATION,Business and Financial Operations,1
OCCUPATION,Student,1
OCCUPATION,Computer and Mathematical,1
NUMBER_OF_CHILDREN,0,27645698
NUMBER_OF_CHILDREN,2,3859832
NUMBER_OF_CHILDREN,1,3219804
NUMBER_OF_CHILDREN,3,1627574
NUMBER_OF_CHILDREN,4+,330781
NUMBER_OF_CHILDREN,0,9024
NUMBER_OF_CHILDREN,,1
NUMBER_OF_CHILDREN,3,1
NUMBER_OF_CHILDREN,2,1
NUMBER_OF_CHILDREN,1,1
AGE_OF_CHILDREN,No Kids,28856873
AGE_OF_CHILDREN,14 to 17,2295947
AGE_OF_CHILDREN,3 to 5,1601601
AGE_OF_CHILDREN,6 to 10,1400863
AGE_OF_CHILDREN,Under 3,1396531
AGE_OF_CHILDREN,11 to 13,1140890
AGE_OF_CHILDREN,N/A,5
AGE_OF_CHILDREN,3–5,4
AGE_OF_CHILDREN,,1
AGE_OF_CHILDREN,"6–10, 11–13",1
AGE_OF_CHILDREN,6–10,1
SEXUAL_ORIENTATION,Straight / Heterosexual,27032024
SEXUAL_ORIENTATION,Prefer Not to Say,5548370
SEXUAL_ORIENTATION,Gay or Lesbian,3690540
SEXUAL_ORIENTATION,Another Sexual Orientation,403729
SEXUAL_ORIENTATION,LGBTQ+,12113
SEXUAL_ORIENTATION,Other,5939
SEXUAL_ORIENTATION,,1
SEXUAL_ORIENTATION,Asexual,1
