Sheet,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views
Shows,His & Hers: Limited Series,Yes,2026-01-08,454300000,4:22,104000000
Shows,Bridgerton: Season 4,Yes,2026-01-29,889800000,8:53,100200000
Shows,I Will Find You: Limited Series,Yes,2026-06-18,350500000,5:29,63900000
Shows,Stranger Things 5,Yes,2025-11-26,578400000,10:24,55600000
Shows,Run Away: Limited Series,Yes,2026-01-01,315300000,6:16,50300000
Shows,Teach You a Lesson: Limited Series // 참교육: 리미티드 시리즈,Yes,2026-06-05,514700000,10:41,48200000
Shows,ONE PIECE: Season 2,Yes,2026-03-10,383500000,8:06,47300000
Shows,Man on Fire: Season 1,Yes,2026-04-30,224300000,5:33,40400000
Shows,Ms. Rachel: Season 1,Yes,,113100000,3:02,37300000
Shows,The Night Agent: Season 3,Yes,2026-02-19,314500000,8:43,36100000
Shows,The Lincoln Lawyer: Season 4,Yes,2026-02-05,295500000,8:26,35000000
Shows,Nemesis: Season 1,Yes,2026-05-14,253700000,7:47,32600000
Shows,Unfamiliar: Season 1,Yes,2026-02-05,165400000,5:14,31600000
Shows,The Dinosaurs: Season 1,Yes,2026-03-06,97700000,3:06,31500000
Shows,Ms. Rachel: Season 2,Yes,,94900000,3:02,31300000
Shows,"XO, Kitty: Season 3",Yes,2026-04-02,127000000,4:20,29300000
Shows,Michael Jackson: The Verdict: Season 1,Yes,2026-06-03,76200000,2:38,28900000
Shows,Virgin River: Season 7,Yes,2026-03-12,237500000,8:15,28800000
Shows,Can This Love Be Translated?: Limited Series // 이 사랑 통역 되나요?: 리미티드 시리즈,Yes,2026-01-16,377700000,13:11,28600000
Shows,Agatha Christie's Seven Dials: Season 1,Yes,2026-01-15,77300000,2:42,28600000
Shows,Unchosen: Season 1,Yes,2026-04-21,127800000,4:30,28400000
Shows,The Witness: Limited Series,Yes,2026-06-04,72400000,2:35,28000000
Shows,Berlin and the Lady with an Ermine: Limited Series // Berlín y la dama del armiño: Miniserie,Yes,2026-05-15,204400000,7:24,27600000
Shows,Should I Marry A Murderer?: Limited Series,Yes,2026-04-29,66900000,2:31,26600000
Shows,Worst Ex Ever: Season 2,Yes,2026-05-06,106500000,4:01,26500000
Shows,Danny Go!: Season 1,Yes,,53600000,2:02,26400000
Shows,Stranger Things,Yes,2016-07-15,175800000,6:49,25800000
Shows,The Art of Sarah: Limited Series // 레이디 두아: 리미티드 시리즈,Yes,2026-02-13,154000000,5:58,25800000
Shows,Salish & Jordan Matter: Season 1,No,,91000000,3:32,25800000
