Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views
War Machine,Yes,2026-03-06,266800000,1:49,146900000
The Rip,Yes,2026-01-16,256400000,1:53,136100000
Swapped,Yes,2026-05-01,222400000,1:42,130800000
KPop Demon Hunters,Yes,2025-06-20,217300000,1:40,130400000
Apex,Yes,2026-04-24,204200000,1:35,129000000
Thrash,Yes,2026-04-10,143300000,1:26,100000000
People We Meet on Vacation,Yes,2026-01-09,152900000,1:58,77700000
The Crash,Yes,2026-05-15,103200000,1:35,65200000
Peaky Blinders: The Immortal Man,Yes,2026-03-20,121500000,1:54,63900000
Office Romance,Yes,2026-06-05,112000000,1:55,58400000
Madagascar (2005),No,,76600000,1:26,53400000
Voicemails for Isabelle,Yes,2026-06-19,104800000,1:58,53300000
Remarkably Bright Creatures,Yes,2026-05-08,97400000,1:54,51300000
Maternal Instinct,Yes,2026-06-12,81400000,1:37,50400000
Goat (2026),No,,70800000,1:40,42500000
Ladies First,Yes,2026-05-22,63300000,1:33,40800000
Dhurandhar // धुरंधर,No,,127000000,3:26,37000000
Despicable Me 3,No,,55500000,1:30,37000000
180,Yes,2026-04-17,58300000,1:35,36800000
Despicable Me 4,No,,56300000,1:34,35900000
Joe’s College Road Trip,Yes,2026-02-13,66200000,1:51,35800000
Kidnapped: Elizabeth Smart,Yes,2026-01-21,53800000,1:31,35500000
Anaconda (2025),No,,55700000,1:39,33800000
Firebreak // Cortafuego,Yes,2026-02-20,60100000,1:47,33700000
In Your Dreams,Yes,2025-11-14,50000000,1:31,33000000
The Secret Life of Pets,No,,47200000,1:27,32600000
Paw Patrol: The Movie,No,,45600000,1:26,31800000
Roommates,Yes,2026-04-17,56200000,1:47,31500000
The Super Mario Bros. Movie,No,,46800000,1:32,30500000
Evil Influencer: The Jodi Hildebrandt Story,Yes,2025-12-30,50000000,1:42,29400000
Jurassic World,No,,60500000,2:04,29300000
The Investigation of Lucy Letby,Yes,2026-02-04,44900000,1:35,28400000
The Great Flood // 대홍수,Yes,2025-12-19,50000000,1:49,27500000
Jurassic World Rebirth,No,,57700000,2:14,25800000
The Marked Woman // La desconocida,Yes,2026-06-05,46600000,1:49,25700000
Despicable Me 2,No,,41800000,1:38,25600000
No Time to Die (2021),No,,69700000,2:44,25500000
The Boss Baby,No,,41400000,1:38,25300000
Me Before You,No,,45900000,1:50,25000000
Shrek,No,,36500000,1:30,24300000
Dr. Seuss' The Grinch,No,,34900000,1:26,24300000
Spider-Man: Into the Spider-Verse,No,,46600000,1:57,23900000
We Can Be Heroes,Yes,2020-12-25,40100000,1:41,23800000
Hotel Transylvania 3: Summer Vacation,No,,37900000,1:37,23400000
Colors Of Evil: Black // Kolory Zła: Czerń,Yes,2026-06-10,42800000,1:50,23300000
Back to the Outback,Yes,2021-12-10,36800000,1:36,23000000
Trolls,No,,35600000,1:33,23000000
Wake Up Dead Man: A Knives Out Mystery,Yes,2025-12-12,55800000,2:26,22900000
Humint // 휴민트,Yes,2026-03-31,45300000,1:59,22800000
The Truth and Tragedy of Moriah Wilson,Yes,2026-04-03,37300000,1:38,22800000
Frankenstein,Yes,2025-11-07,56600000,2:32,22300000
Despicable Me,No,,34500000,1:35,21800000
Minions: The Rise of Gru,No,,31600000,1:28,21500000
A Father's Miracle // La celda de los milagros,No,2026-02-13,36000000,1:41,21400000
Migration,No,,28900000,1:23,20900000
"Even If This Love Disappears Tonight // 오늘 밤, 세계에서 이 사랑이 사라진다 해도",Yes,2026-02-03,36600000,1:46,20700000
Shrek 2,No,,31600000,1:33,20400000
Red Notice,Yes,2021-11-12,39000000,1:58,19800000
The Croods: A New Age,No,,31300000,1:35,19800000
The Orphans // Les Orphelins,No,2026-02-20,31200000,1:35,19700000
Accused // अक्यूज़्ड,Yes,2026-02-27,34200000,1:46,19400000
Little Brother,Yes,2026-06-26,32400000,1:40,19400000
Sing (2016),No,,34800000,1:48,19300000
Eat Pray Bark,Yes,2026-04-01,29100000,1:32,19000000
Trap (2024),No,,33000000,1:45,18900000
Bee Movie,No,,28800000,1:32,18800000
Gladiator II,No,,45900000,2:28,18600000
Happy Gilmore 2,Yes,2025-07-25,36400000,1:58,18500000
Sonic the Hedgehog 3,No,,33700000,1:50,18400000
Mechanic: Resurrection,No,,30300000,1:39,18400000
My Dearest Assassin // เลือดรัก นักฆ่า,Yes,2026-05-07,39400000,2:09,18300000
Jurassic World: Fallen Kingdom,No,,38800000,2:08,18200000
Made in Korea,Yes,2026-03-12,34200000,1:53,18200000
Shark Tale,No,,27300000,1:30,18200000
27 Dresses,No,,33400000,1:51,18100000
PAW Patrol: The Mighty Movie,No,,26600000,1:28,18100000
Max (2015),No,,33200000,1:51,17900000
The Expendables 4,No,,30700000,1:43,17900000
Louis Theroux: Inside the Manosphere,Yes,2026-03-11,27200000,1:31,17900000
Jumanji: Welcome to the Jungle,No,,34900000,1:59,17600000
Just Go With It,No,,33700000,1:57,17300000
Minions,No,,26300000,1:31,17300000
Dr. Seuss' The Lorax,No,,24700000,1:26,17200000
Back in Action,Yes,2025-01-17,32400000,1:54,17100000
The Big Fake // Il Falsario,Yes,2026-01-23,32800000,1:56,17000000
A HOUSE OF DYNAMITE,Yes,2025-10-24,32500000,1:55,17000000
Night at the Museum,No,,30900000,1:49,17000000
Leo,Yes,2023-11-21,30300000,1:47,17000000
Home (2015),No,,26600000,1:34,17000000
State of Fear // Salve Geral: Irmandade,Yes,2026-02-11,29100000,1:45,16600000
Feel My Voice // Non abbiam bisogno di parole,Yes,2026-04-03,29200000,1:46,16500000
Striking Distance,No,,27800000,1:42,16400000
The Addams Family (2019),No,,23300000,1:27,16100000
How to Train Your Dragon (2025),No,,33300000,2:05,16000000
The Sea Beast,Yes,2022-07-08,31500000,1:59,15900000
How to Train Your Dragon 2,No,,27000000,1:42,15900000
Mardaani 3 // मर्दानी 3,Yes,,34400000,2:11,15800000
How to Train Your Dragon: The Hidden World,No,,27200000,1:44,15700000
Plankton: The Movie,Yes,2025-03-07,23100000,1:28,15700000
Havoc,Yes,2025-04-25,27900000,1:47,15600000
Over the Hedge,No,,21500000,1:24,15400000
Haq // हक,No,,33700000,2:12,15300000
The Bad Guys 2,No,,26500000,1:44,15300000
The Karate Kid (2010),No,,35500000,2:20,15200000
The Red Line // เส้นตาย สายลวง,Yes,2026-03-26,34700000,2:17,15200000
The Magnificent Seven (2016),No,,33600000,2:13,15200000
Grown Ups (2010),No,,25900000,1:43,15100000
Untold: The Death & Life of Lamar Odom,Yes,2026-03-31,19700000,1:21,14600000
Hotel Transylvania 2,No,,21700000,1:30,14500000
Ferdinand,No,,26400000,1:50,14400000
Abigail (2024),No,,26300000,1:50,14300000
How to Train Your Dragon (2010),No,,23800000,1:40,14300000
Kung Fu Panda 3,No,2016-08-18,22600000,1:35,14300000
Kung Fu Panda,No,,22200000,1:34,14200000
Tere Ishk Mein // तेरे इश्क में,Yes,,38500000,2:45,14000000
The Murder of Rachel Nickell,Yes,2026-06-04,22200000,1:36,13900000
The Bad Guys (2022),No,,23000000,1:40,13800000
In the Land of Saints and Sinners,No,2024-04-26,24200000,1:46,13700000
The Woman in Cabin 10,Yes,2025-10-10,21700000,1:35,13700000
