Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views
His & Hers: Limited Series,Yes,2026-01-08,454300000,4:22,104000000
Bridgerton: Season 4,Yes,2026-01-29,889800000,8:53,100200000
I Will Find You: Limited Series,Yes,2026-06-18,350500000,5:29,63900000
Stranger Things 5,Yes,2025-11-26,578400000,10:24,55600000
Run Away: Limited Series,Yes,2026-01-01,315300000,6:16,50300000
Teach You a Lesson: Limited Series // 참교육: 리미티드 시리즈,Yes,2026-06-05,514700000,10:41,48200000
ONE PIECE: Season 2,Yes,2026-03-10,383500000,8:06,47300000
Man on Fire: Season 1,Yes,2026-04-30,224300000,5:33,40400000
Ms. Rachel: Season 1,Yes,,113100000,3:02,37300000
The Night Agent: Season 3,Yes,2026-02-19,314500000,8:43,36100000
The Lincoln Lawyer: Season 4,Yes,2026-02-05,295500000,8:26,35000000
Nemesis: Season 1,Yes,2026-05-14,253700000,7:47,32600000
Unfamiliar: Season 1,Yes,2026-02-05,165400000,5:14,31600000
The Dinosaurs: Season 1,Yes,2026-03-06,97700000,3:06,31500000
Ms. Rachel: Season 2,Yes,,94900000,3:02,31300000
"XO, Kitty: Season 3",Yes,2026-04-02,127000000,4:20,29300000
Michael Jackson: The Verdict: Season 1,Yes,2026-06-03,76200000,2:38,28900000
Virgin River: Season 7,Yes,2026-03-12,237500000,8:15,28800000
Can This Love Be Translated?: Limited Series // 이 사랑 통역 되나요?: 리미티드 시리즈,Yes,2026-01-16,377700000,13:11,28600000
Agatha Christie's Seven Dials: Season 1,Yes,2026-01-15,77300000,2:42,28600000
Unchosen: Season 1,Yes,2026-04-21,127800000,4:30,28400000
The Witness: Limited Series,Yes,2026-06-04,72400000,2:35,28000000
Berlin and the Lady with an Ermine: Limited Series // Berlín y la dama del armiño: Miniserie,Yes,2026-05-15,204400000,7:24,27600000
Should I Marry A Murderer?: Limited Series,Yes,2026-04-29,66900000,2:31,26600000
Worst Ex Ever: Season 2,Yes,2026-05-06,106500000,4:01,26500000
Danny Go!: Season 1,Yes,,53600000,2:02,26400000
Stranger Things,Yes,2016-07-15,175800000,6:49,25800000
The Art of Sarah: Limited Series // 레이디 두아: 리미티드 시리즈,Yes,2026-02-13,154000000,5:58,25800000
Salish & Jordan Matter: Season 1,No,,91000000,3:32,25800000
Bloodhounds: Season 2 // 사냥개들: 시즌 2,Yes,2026-04-03,169100000,6:58,24300000
Trust Me: The False Prophet: Season 1,Yes,2026-04-08,79400000,3:17,24200000
Bridgerton: Season 1,Yes,2020-12-25,194400000,8:12,23700000
Stranger Things 4,Yes,2022-05-27,303300000,13:04,23200000
Bridgerton: Season 3,Yes,2024-05-16,185500000,7:59,23200000
The Boroughs: Season 1,Yes,2026-05-21,144300000,6:15,23100000
Stranger Things 3,Yes,2019-07-04,172100000,7:33,22800000
Reality Check: Inside America's Next Top Model: Season 1,Yes,2026-02-16,62400000,2:47,22400000
Radioactive Emergency: Season 1 // Emergência Radioativa: Temporada 1,Yes,2026-03-18,112300000,5:08,21900000
Stranger Things 2,Yes,2017-10-27,172100000,7:53,21800000
Detective Hole: Season 1 // Harry Hole: Sesong 1,Yes,2026-03-26,160800000,7:24,21700000
Jeffrey Epstein: Filthy Rich: Limited Series,Yes,2020-05-27,81700000,3:46,21700000
ONE PIECE: Season 1,Yes,2023-08-31,162900000,7:34,21500000
Emily in Paris: Season 5,Yes,2025-12-18,122600000,5:47,21200000
Running Point: Season 2,Yes,2026-04-23,101000000,4:47,21100000
The Roast of Kevin Hart,No,2026-05-10,60400000,2:52,21100000
