zip,state,district,district_name,state_district_code,land_area_m2,primary_district,dma_code,dma_name,dma_match_type
601,PR,98,Resident Commissioner District (at Large),PR-98,166847909,TRUE,,,none
602,PR,98,Resident Commissioner District (at Large),PR-98,78546713,TRUE,,,none
603,PR,98,Resident Commissioner District (at Large),PR-98,88957333,TRUE,,,none
606,PR,98,Resident Commissioner District (at Large),PR-98,114825382,TRUE,,,none
610,PR,98,Resident Commissioner District (at Large),PR-98,96129350,TRUE,,,none
611,PR,98,Resident Commissioner District (at Large),PR-98,27570859,TRUE,,,none
612,PR,98,Resident Commissioner District (at Large),PR-98,197202754,TRUE,,,none
616,PR,98,Resident Commissioner District (at Large),PR-98,28189755,TRUE,,,none
617,PR,98,Resident Commissioner District (at Large),PR-98,47538645,TRUE,,,none
622,PR,98,Resident Commissioner District (at Large),PR-98,80724808,TRUE,,,none
623,PR,98,Resident Commissioner District (at Large),PR-98,101522968,TRUE,,,none
624,PR,98,Resident Commissioner District (at Large),PR-98,121623976,TRUE,,,none
627,PR,98,Resident Commissioner District (at Large),PR-98,120095653,TRUE,,,none
631,PR,98,Resident Commissioner District (at Large),PR-98,8095945,TRUE,,,none
636,PR,98,Resident Commissioner District (at Large),PR-98,949819,TRUE,,,none
637,PR,98,Resident Commissioner District (at Large),PR-98,91091117,TRUE,,,none
638,PR,98,Resident Commissioner District (at Large),PR-98,184928682,TRUE,,,none
641,PR,98,Resident Commissioner District (at Large),PR-98,217850443,TRUE,,,none
646,PR,98,Resident Commissioner District (at Large),PR-98,54524894,TRUE,,,none
647,PR,98,Resident Commissioner District (at Large),PR-98,40949566,TRUE,,,none
650,PR,98,Resident Commissioner District (at Large),PR-98,82140025,TRUE,,,none
652,PR,98,Resident Commissioner District (at Large),PR-98,16685216,TRUE,,,none
653,PR,98,Resident Commissioner District (at Large),PR-98,57201263,TRUE,,,none
656,PR,98,Resident Commissioner District (at Large),PR-98,109153712,TRUE,,,none
659,PR,98,Resident Commissioner District (at Large),PR-98,106336153,TRUE,,,none
660,PR,98,Resident Commissioner District (at Large),PR-98,29314496,TRUE,,,none
662,PR,98,Resident Commissioner District (at Large),PR-98,106890325,TRUE,,,none
664,PR,98,Resident Commissioner District (at Large),PR-98,121495188,TRUE,,,none
667,PR,98,Resident Commissioner District (at Large),PR-98,155914156,TRUE,,,none
669,PR,98,Resident Commissioner District (at Large),PR-98,166051225,TRUE,,,none
670,PR,98,Resident Commissioner District (at Large),PR-98,120455394,TRUE,,,none
674,PR,98,Resident Commissioner District (at Large),PR-98,112542703,TRUE,,,none
676,PR,98,Resident Commissioner District (at Large),PR-98,126528240,TRUE,,,none
677,PR,98,Resident Commissioner District (at Large),PR-98,37733225,TRUE,,,none
678,PR,98,Resident Commissioner District (at Large),PR-98,75473614,TRUE,,,none
680,PR,98,Resident Commissioner District (at Large),PR-98,166550170,TRUE,,,none
682,PR,98,Resident Commissioner District (at Large),PR-98,42242059,TRUE,,,none
683,PR,98,Resident Commissioner District (at Large),PR-98,127657838,TRUE,,,none
685,PR,98,Resident Commissioner District (at Large),PR-98,203807490,TRUE,,,none
687,PR,98,Resident Commissioner District (at Large),PR-98,100676194,TRUE,,,none
688,PR,98,Resident Commissioner District (at Large),PR-98,84182898,TRUE,,,none
690,PR,98,Resident Commissioner District (at Large),PR-98,5856225,TRUE,,,none
692,PR,98,Resident Commissioner District (at Large),PR-98,68708823,TRUE,,,none
693,PR,98,Resident Commissioner District (at Large),PR-98,115018380,TRUE,,,none
694,PR,98,Resident Commissioner District (at Large),PR-98,2069783,TRUE,,,none
698,PR,98,Resident Commissioner District (at Large),PR-98,162299760,TRUE,,,none
703,PR,98,Resident Commissioner District (at Large),PR-98,80346808,TRUE,,,none
704,PR,98,Resident Commissioner District (at Large),PR-98,23300028,TRUE,,,none
705,PR,98,Resident Commissioner District (at Large),PR-98,78746040,TRUE,,,none
707,PR,98,Resident Commissioner District (at Large),PR-98,54196286,TRUE,,,none
714,PR,98,Resident Commissioner District (at Large),PR-98,38857653,TRUE,,,none
715,PR,98,Resident Commissioner District (at Large),PR-98,32913553,TRUE,,,none
716,PR,98,Resident Commissioner District (at Large),PR-98,22449489,TRUE,,,none
717,PR,98,Resident Commissioner District (at Large),PR-98,6145510,TRUE,,,none
718,PR,98,Resident Commissioner District (at Large),PR-98,122275140,TRUE,,,none
719,PR,98,Resident Commissioner District (at Large),PR-98,73062132,TRUE,,,none
720,PR,98,Resident Commissioner District (at Large),PR-98,145399456,TRUE,,,none
723,PR,98,Resident Commissioner District (at Large),PR-98,119150138,TRUE,,,none
725,PR,98,Resident Commissioner District (at Large),PR-98,107130188,TRUE,,,none
727,PR,98,Resident Commissioner District (at Large),PR-98,58439043,TRUE,,,none
728,PR,98,Resident Commissioner District (at Large),PR-98,39878650,TRUE,,,none
729,PR,98,Resident Commissioner District (at Large),PR-98,92600431,TRUE,,,none
730,PR,98,Resident Commissioner District (at Large),PR-98,17191037,TRUE,,,none
731,PR,98,Resident Commissioner District (at Large),PR-98,126788110,TRUE,,,none
735,PR,98,Resident Commissioner District (at Large),PR-98,70903162,TRUE,,,none
